243.45203195	364.46974725	734.25664792	262.7054696	    182.37233828	325.5777676	    804.43150176	339.17497242	903.59501144	126.24625309
990.45831865	476.81871378	260.23284388	395.53110078	717.83500699	371.42665622	879.13117586	721.0453026	    942.28297633	846.149445619
372.33668136	606.345713	    747.43478686	207.53724828	974.03756086	926.65909801	189.02447481	889.65311786	280.75912052	456.59125056
424.81887385	259.82984678	299.07496088	773.69038431	439.84019568	644.10566954	955.45687323	414.2477193	    356.05310583	578.23646746
700.33097621	912.96639228	853.94648634	324.53383259	290.57631779	426.2322824	    901.17415487	544.71688452	789.71546353	731.35088947
649.99400433	975.48831543	228.95647026	944.0873193	    153.42826938	538.75067453	450.95441257	256.80925719	434.78952329	323.28728175
135.9762084	    258.28789166	530.97170819	105.88326633	861.91237973	232.15386156	440.03636091	161.0783371	    959.05569285	728.981724931
920.41110213	474.87026167	173.14579966	511.94754501	985.61399016	881.18754966	285.35719783	423.30450275	659.98441949	8752.42079118
783.14827488	684.8738001	    580.83159915	460.5303133	    271.23470633	827.63916338	104.70977403	815.80433781	359.1996506	    214.56846041
221.52808875	384.98857001	824.83339559	556.06451096	8170.1290003	525.06155194	382.82512163	562.46297502	316.23565498	569.81341612
